"latitude","longitude","potencia"
8.56210369,-71.192199994,-5
8.556892078,-71.194724728,-5
8.588340537,-71.156430193,-5
8.600658235,-71.139420587,-5
8.601784281,-71.139334427,-5
8.600228146,-71.139989327,-5
8.583691738,-71.162180267,-5
8.56828805,-71.186365924,-5
8.584143909,-71.161496464,-5
8.568873904,-71.18564483,-5
8.557691285,-71.192297363,-5
8.559082405,-71.19188029,-5
8.557321602,-71.195200676,-5
8.578816575,-71.16933357,-5
8.599320521,-71.139829177,-5
8.556887825,-71.194733139,-5
8.611931214,-71.144008391,-24
8.557885492,-71.191516295,-24.5
8.594929767,-71.144151645,-25
8.601773659,-71.139357488,-26
8.592284992,-71.144734859,-26.5
8.602872088,-71.13809002,-26.5
8.614472578,-71.144429127,-27
8.618326554,-71.144947137,-27
8.557918998,-71.194051562,-27.5
8.572139528,-71.180454134,-27.5
8.601737231,-71.146742497,-27.5
8.558012761,-71.194617151,-28
8.57171711,-71.181140654,-28
8.596940244,-71.147458607,-28.5
8.598807791,-71.148884335,-28.5
8.58275335,-71.163553535,-29
8.591991198,-71.145797481,-29.5
8.556500967,-71.194366025,-29.5
8.573779373,-71.176834367,-30
8.597765168,-71.143190038,-30
8.556694103,-71.192464939,-30.5
8.577824545,-71.170735543,-30.5
8.558290068,-71.194818181,-30.5
8.56341255,-71.191248412,-30.5
8.598813723,-71.143118979,-30.5
8.585059483,-71.16028671,-31
8.625141618,-71.146894065,-31.5
8.556382101,-71.194257007,-31.5
8.598002535,-71.144264414,-31.5
8.597466054,-71.139468843,-31.5
8.594359453,-71.144964813,-31.5
8.592637343,-71.147332613,-31.5
8.557699714,-71.193985714,-32.5
8.55737759,-71.193210686,-32.5
8.570179139,-71.184079168,-32.5
8.567580888,-71.187098732,-32.5
8.559953653,-71.193105659,-32.5
8.577975033,-71.171000669,-32.5
8.593978451,-71.145303999,-32.5
8.578201056,-71.170138105,-33
8.597972605,-71.144216624,-33
8.558308862,-71.194441912,-33.5
8.580246975,-71.167489278,-33.5
8.598634367,-71.137888399,-33.5
8.566297449,-71.188782757,-33.5
8.6094785,-71.14211956,-33.5
8.557495451,-71.191826716,-33.5
8.557336527,-71.193443549,-34
8.558546464,-71.194967258,-34
8.597123472,-71.142613976,-34
8.597893636,-71.141660353,-34
8.595561846,-71.143358178,-34
8.56296018,-71.191366403,-34
8.587838867,-71.153806012,-34
8.57673017,-71.172830688,-34
8.595516848,-71.146239379,-34.5
8.598007078,-71.142948749,-34.5
8.57848158,-71.170190472,-34.5
8.578823801,-71.169327906,-34.5
8.572403216,-71.179367896,-34.5
8.595747933,-71.145799568,-35
8.599290642,-71.143970079,-35
8.595971369,-71.139975333,-35.5
8.5977335,-71.144611988,-35.5
8.596871029,-71.140238831,-35.5
8.569357593,-71.185354711,-36
8.579489676,-71.168676158,-36
8.612687603,-71.144484897,-36
8.601647246,-71.138159418,-36.5
8.596422655,-71.146328263,-36.5
8.555903613,-71.194670775,-36.5
8.584587635,-71.160878694,-37
8.594070125,-71.142383825,-37
8.601018004,-71.147587119,-37
8.59704016,-71.144250793,-37
8.580872954,-71.166497565,-37.5
8.597621042,-71.143336573,-37.5
8.559595751,-71.192752812,-37.5
8.558027893,-71.193971076,-37.5
8.596626658,-71.14057215,-38
8.603973815,-71.143961253,-38
8.615887965,-71.144227028,-38
8.608475674,-71.142048289,-38
8.598245148,-71.141191604,-38
8.579013767,-71.169034851,-38
8.575701992,-71.173859302,-38.5
8.59822625,-71.139809265,-38.5
8.597961755,-71.150264557,-39
8.58793351,-71.155540504,-39
8.6022178,-71.138777004,-39
8.597133712,-71.139914106,-39
8.571106184,-71.182318327,-39
8.594426105,-71.145579246,-39
8.579668286,-71.168089849,-39.5
8.61373729,-71.144549879,-39.5
8.598457141,-71.142336826,-39.5
8.571051621,-71.181801,-39.5
8.556490362,-71.195299097,-39.5
8.571528779,-71.180939235,-39.5
8.558418019,-71.192414605,-39.5
8.59509366,-71.145314267,-40
8.602357112,-71.1516681,-40
8.595718091,-71.140337372,-40
8.599847832,-71.143243274,-40.5
8.597918131,-71.140231681,-40.5
8.598044422,-71.13748675,-40.5
8.587119178,-71.157855458,-40.5
8.600590749,-71.140805653,-40.5
8.58796176,-71.156869786,-41
8.58191484,-71.164788867,-41
8.581204575,-71.166543476,-41
8.604458364,-71.148516857,-41
8.573752892,-71.17761349,-41
8.579017087,-71.169394535,-41
8.562180916,-71.191947008,-41
8.602540456,-71.139904824,-41
8.556890805,-71.194735881,-41
8.574740079,-71.175588113,-41.5
8.557662732,-71.193595179,-41.5
8.597795429,-71.145955741,-41.5
8.593955029,-71.144106158,-41.5
8.602241676,-71.139913632,-41.5
8.557604025,-71.194967814,-41.5
8.563866507,-71.190570311,-41.5
8.601945748,-71.138285615,-41.5
8.599610324,-71.149641107,-42
8.557258483,-71.193294101,-42
8.602766396,-71.145223057,-42
8.566916557,-71.188104462,-42
8.597764487,-71.139144117,-42
8.598335195,-71.143782681,-42
8.570647335,-71.183188686,-42
8.60003295,-71.150028721,-42
8.56686438,-71.18785166,-42.5
8.556712722,-71.194572538,-42.5
8.574249884,-71.176593671,-42.5
8.597644569,-71.14196474,-42.5
8.559411782,-71.192227467,-42.5
8.59298618,-71.147935307,-42.5
8.613687042,-71.144602293,-42.5
8.572942851,-71.178419972,-42.5
8.595553105,-71.144710942,-43
8.596940444,-71.138736809,-43
8.596002291,-71.14678694,-43
8.610943339,-71.144778815,-43
8.56104398,-71.192855415,-43
8.556083885,-71.194446697,-43
8.594815685,-71.142956736,-43
8.598096376,-71.141387196,-43
8.597204982,-71.141188456,-43
8.598160998,-71.141315291,-43
8.587365725,-71.154372218,-43
8.566465087,-71.188268368,-43.5
8.598833626,-71.139001319,-43.5
8.595937768,-71.14662133,-43.5
8.590052598,-71.151409525,-43.5
8.587658704,-71.155296696,-43.5
8.596746098,-71.145911722,-43.5
8.592386859,-71.148705495,-43.5
8.600952422,-71.141801194,-43.5
8.563119891,-71.191455487,-43.5
8.556893784,-71.194730397,-44
8.601184552,-71.140096038,-44
8.60658299,-71.14248896,-44
8.6193351,-71.145236858,-44
8.557722585,-71.191645621,-44
8.621979689,-71.145502257,-44
8.601901762,-71.139655152,-44
8.588280115,-71.153280261,-44
8.60095377,-71.140380301,-44.5
8.592577393,-71.144326705,-44.5
8.599740217,-71.140615719,-44.5
8.591625591,-71.149679652,-44.5
8.58676335,-71.158275129,-44.5
8.597437423,-71.143578073,-44.5
8.557349988,-71.191947446,-44.5
8.594380511,-71.145533336,-44.5
8.592378032,-71.146107105,-44.5
8.599426625,-71.142348992,-45
8.612095863,-71.143892875,-45
8.612768942,-71.144432273,-45
8.605899348,-71.14755945,-45
8.622412603,-71.145579614,-45
8.567748696,-71.187199343,-45
8.592870667,-71.143935739,-45
8.592014072,-71.149171086,-45
8.598010599,-71.144247225,-45
8.570526896,-71.182774902,-45
8.620610007,-71.145442932,-45
8.559292805,-71.192003574,-45
8.598155973,-71.144069035,-45
8.577496517,-71.171750495,-45
8.600558017,-71.142312494,-45
8.611205659,-71.142908418,-45
8.624602343,-71.146440401,-45.5
8.623545282,-71.145765985,-45.5
8.59774599,-71.137811477,-45.5
8.565544606,-71.18938349,-45.5
8.56349481,-71.190918052,-45.5
8.623174406,-71.145544602,-45.5
8.594865381,-71.145584485,-45.5
8.59641838,-71.140827905,-46
8.599075125,-71.149437133,-46
8.603460954,-71.144392688,-46
8.557866283,-71.194117968,-46
8.597485073,-71.140826416,-46
8.596877368,-71.147171409,-46
8.578732882,-71.169494557,-46
8.598026322,-71.14423297,-46
8.587346602,-71.154403871,-46
8.599611569,-71.142112726,-46
8.598543817,-71.143449363,-46
8.60039387,-71.150707949,-46
8.575037836,-71.174967624,-46.5
8.568012391,-71.186977999,-46.5
8.558624033,-71.194177589,-46.5
8.603540085,-71.138620591,-46.5
8.607437753,-71.142186655,-46.5
8.572377081,-71.180069453,-46.5
8.560062085,-71.192987857,-46.5
8.586409235,-71.158700463,-46.5
8.592793839,-71.147590881,-46.5
8.600195098,-71.141348608,-46.5
8.587535361,-71.157364089,-47
8.581489521,-71.166304726,-47
8.6244522,-71.146110005,-47
8.597344656,-71.145169405,-47.5
8.594235125,-71.143744121,-47.5
