"latitude","longitude","potencia"
8.5559,-71.1947,-97.5
8.5559,-71.1947,-93.5
8.5559,-71.1947,-95
8.5559,-71.1947,-89.5
8.5559,-71.1947,-80
8.5559,-71.1947,-95.5
8.5559,-71.1947,-80
8.5559,-71.1947,-96.5
8.5559,-71.1947,-96.5
8.5559,-71.1947,-87
8.5559,-71.1947,-89
8.5559,-71.1947,-85
8.5559,-71.1947,-96
8.5559,-71.1947,-85.5
8.5559,-71.1947,-90
8.5559,-71.1947,-84
8.5559,-71.1947,-97
8.5559,-71.1947,-98
8.5559,-71.1947,-103
8.55608,-71.1945,-87.5
8.55608,-71.1945,-80.5
8.55608,-71.1945,-85
8.55608,-71.1945,-82.5
8.55608,-71.1945,-78.5
8.55608,-71.1945,-79.5
8.55608,-71.1945,-80.5
8.55608,-71.1945,-82.5
8.55608,-71.1945,-88
8.55608,-71.1945,-82.5
8.55608,-71.1945,-89
8.55608,-71.1945,-85
8.55608,-71.1945,-85
8.55608,-71.1945,-82.5
8.55608,-71.1945,-85.5
8.55608,-71.1945,-88.5
8.55608,-71.1945,-86.5
8.55608,-71.1945,-87.5
8.55608,-71.1945,-81.5
8.55638,-71.1943,-61
8.55638,-71.1943,-88
8.55638,-71.1943,-91.5
8.55638,-71.1943,-85.5
8.55638,-71.1943,-94
8.55638,-71.1943,-86
8.55638,-71.1943,-95
8.55638,-71.1943,-88
8.55638,-71.1943,-94
8.55638,-71.1943,-86.5
8.55638,-71.1943,-91
8.55638,-71.1943,-92.5
8.55638,-71.1943,-96
8.55638,-71.1943,-98
8.55638,-71.1943,-95
8.55638,-71.1943,-84.5
8.55638,-71.1943,-86
8.55638,-71.1943,-79
8.55638,-71.1943,-88.5
8.55649,-71.1953,-81.5
8.55649,-71.1953,-72.5
8.55649,-71.1953,-83.5
8.55649,-71.1953,-72
8.55649,-71.1953,-82.5
8.55649,-71.1953,-84
8.55649,-71.1953,-82.5
8.55649,-71.1953,-81.5
8.55649,-71.1953,-74.5
8.55649,-71.1953,-81
8.55649,-71.1953,-78
8.55649,-71.1953,-79.5
8.55649,-71.1953,-78.5
8.55649,-71.1953,-75
8.55649,-71.1953,-70
8.55649,-71.1953,-72.5
8.55649,-71.1953,-74
8.55649,-71.1953,-78
8.55649,-71.1953,-69
8.5565,-71.1944,-88
8.5565,-71.1944,-94.5
8.5565,-71.1944,-96.5
8.5565,-71.1944,-82
8.5565,-71.1944,-92
8.5565,-71.1944,-91
8.5565,-71.1944,-90.5
8.5565,-71.1944,-82.5
8.5565,-71.1944,-91.5
8.5565,-71.1944,-92
8.5565,-71.1944,-91
8.5565,-71.1944,-90.5
8.5565,-71.1944,-84.5
8.5565,-71.1944,-87
8.5565,-71.1944,-87.5
8.5565,-71.1944,-87.5
8.5565,-71.1944,-84
8.5565,-71.1944,-85.5
8.5565,-71.1944,-92
8.55669,-71.1925,-86
8.55669,-71.1925,-88.5
8.55669,-71.1925,-101
8.55669,-71.1925,-98.5
8.55669,-71.1925,-101.5
8.55669,-71.1925,-103.5
8.55669,-71.1925,-103.5
8.55669,-71.1925,-100.5
8.55669,-71.1925,-100
8.55669,-71.1925,-91.5
8.55669,-71.1925,-103
8.55669,-71.1925,-98
8.55669,-71.1925,-82
8.55669,-71.1925,-91
8.55669,-71.1925,-77
8.55669,-71.1925,-98
8.55669,-71.1925,-94
8.55669,-71.1925,-100.5
8.55669,-71.1925,-94
8.55671,-71.1946,-92
8.55671,-71.1946,-90.5
8.55671,-71.1946,-95
8.55671,-71.1946,-87.5
8.55671,-71.1946,-94
8.55671,-71.1946,-85.5
8.55671,-71.1946,-93.5
8.55671,-71.1946,-93.5
8.55671,-71.1946,-93.5
8.55671,-71.1946,-91
8.55671,-71.1946,-92
8.55671,-71.1946,-93
8.55671,-71.1946,-93
8.55671,-71.1946,-74
8.55671,-71.1946,-83.5
8.55671,-71.1946,-82.5
8.55671,-71.1946,-90.5
8.55671,-71.1946,-86.5
8.55671,-71.1946,-93.5
8.55689,-71.1947,-76
8.55689,-71.1947,-91
8.55689,-71.1947,-99.5
8.55689,-71.1947,-97.5
8.55689,-71.1947,-85
8.55689,-71.1947,-92.5
8.55689,-71.1947,-103.5
8.55689,-71.1947,-81
8.55689,-71.1947,-91
8.55689,-71.1947,-92.5
8.55689,-71.1947,-85
8.55689,-71.1947,-89
8.55689,-71.1947,-99.5
8.55689,-71.1947,-99
8.55689,-71.1947,-84.5
8.55689,-71.1947,-93
8.55689,-71.1947,-86
8.55689,-71.1947,-88.5
8.55689,-71.1947,-103.5
8.55689,-71.1947,-81
8.55689,-71.1947,-79.5
8.55689,-71.1947,-98.5
8.55689,-71.1947,-81.5
8.55689,-71.1947,-82.5
8.55689,-71.1947,-96.5
8.55689,-71.1947,-98.5
8.55689,-71.1947,-73.5
8.55689,-71.1947,-96
8.55689,-71.1947,-78
8.55689,-71.1947,-98
8.55689,-71.1947,-83.5
8.55689,-71.1947,-97
8.55689,-71.1947,-65
8.55689,-71.1947,-81.5
8.55689,-71.1947,-82
8.55689,-71.1947,-94
8.55689,-71.1947,-83.5
8.55689,-71.1947,-100
8.55689,-71.1947,-89
8.55689,-71.1947,-84
8.55689,-71.1947,-82
8.55689,-71.1947,-99.5
8.55689,-71.1947,-82
8.55689,-71.1947,-92.5
8.55689,-71.1947,-89.5
8.55689,-71.1947,-96
8.55689,-71.1947,-84
8.55689,-71.1947,-80
8.55689,-71.1947,-98.5
8.55689,-71.1947,-100.5
8.55689,-71.1947,-97
8.55689,-71.1947,-96.5
8.55689,-71.1947,-83.5
8.55689,-71.1947,-93
8.55689,-71.1947,-81
8.55689,-71.1947,-80.5
8.55689,-71.1947,-92
8.55689,-71.1947,-96
8.55689,-71.1947,-98.5
8.55689,-71.1947,-84.5
8.55689,-71.1947,-85
8.55689,-71.1947,-87
8.55689,-71.1947,-91.5
8.55689,-71.1947,-79.5
8.55689,-71.1947,-104
8.55689,-71.1947,-99.5
8.55689,-71.1947,-101.5
8.55689,-71.1947,-80
8.55689,-71.1947,-87.5
8.55689,-71.1947,-96
8.55689,-71.1947,-91.5
8.55689,-71.1947,-94.5
8.55689,-71.1947,-103.5
8.55689,-71.1947,-95.5
8.55689,-71.1947,-98.5
8.55689,-71.1947,-84.5
8.55689,-71.1947,-89
8.55689,-71.1947,-88.5
8.55689,-71.1947,-89.5
8.55689,-71.1947,-92
8.55689,-71.1947,-102
8.55689,-71.1947,-91
8.55689,-71.1947,-97
8.55689,-71.1947,-89.5
8.55689,-71.1947,-87.5
8.55689,-71.1947,-85.5
8.55689,-71.1947,-90
8.55689,-71.1947,-98.5
8.55689,-71.1947,-105.5
8.55689,-71.1947,-97
8.55689,-71.1947,-102.5
8.55689,-71.1947,-91.5
8.55689,-71.1947,-78
8.55689,-71.1947,-84
8.55689,-71.1947,-87.5
8.55689,-71.1947,-105
8.55689,-71.1947,-97
8.55689,-71.1947,-101
8.55689,-71.1947,-86
8.55689,-71.1947,-80.5
8.55689,-71.1947,-94
8.55689,-71.1947,-98
8.55689,-71.1947,-81.5
8.55689,-71.1947,-95.5
8.55689,-71.1947,-99
8.55689,-71.1947,-101
8.55689,-71.1947,-85.5
8.55689,-71.1947,-84
8.55689,-71.1947,-92
8.55689,-71.1947,-101
8.55689,-71.1947,-81.5
8.55689,-71.1947,-96
8.55689,-71.1947,-98.5
8.55689,-71.1947,-101.5
8.55702,-71.1928,-97.5
8.55702,-71.1928,-100
8.55702,-71.1928,-97
8.55702,-71.1928,-101
8.55702,-71.1928,-103
8.55702,-71.1928,-96
8.55702,-71.1928,-103.5
8.55702,-71.1928,-95.5
8.55702,-71.1928,-96.5
8.55702,-71.1928,-92
8.55702,-71.1928,-89.5
8.55702,-71.1928,-97.5
8.55702,-71.1928,-99
8.55702,-71.1928,-98
8.55702,-71.1928,-97
8.55702,-71.1928,-101.5
8.55702,-71.1928,-97
8.55702,-71.1928,-95
8.55702,-71.1928,-102.5
8.55704,-71.1932,-69
8.55704,-71.1932,-75
8.55704,-71.1932,-74.5
8.55704,-71.1932,-77.5
8.55704,-71.1932,-78
8.55704,-71.1932,-63.5
8.55704,-71.1932,-78.5
8.55704,-71.1932,-79.5
8.55704,-71.1932,-77
8.55704,-71.1932,-77
8.55704,-71.1932,-72.5
8.55704,-71.1932,-87
8.55704,-71.1932,-77
8.55704,-71.1932,-69.5
8.55704,-71.1932,-70.5
8.55704,-71.1932,-71.5
8.55704,-71.1932,-82
8.55704,-71.1932,-85
8.55704,-71.1932,-74
8.55713,-71.1921,-96
