"lat","lng","count"
8.58753,-71.1574,0
8.58793,-71.1555,0
8.57111,-71.1823,0
8.59238,-71.1461,0
8.59487,-71.1456,0
8.59688,-71.1472,0
8.60003,-71.15,0
8.57018,-71.1841,0
8.57798,-71.171,0
8.59229,-71.1447,0
8.55878,-71.1921,0
8.61369,-71.1446,0
8.59443,-71.1456,0
8.59542,-71.1463,0
8.59552,-71.1462,0
8.57474,-71.1756,0
8.60658,-71.1425,0
8.59436,-71.145,-24
8.59772,-71.1481,-25
8.59881,-71.1489,-26.5
8.59482,-71.143,-27
8.59438,-71.1455,-28.5
8.59199,-71.1458,-29.5
8.59493,-71.1441,-29.5
8.60228,-71.1459,-30.5
8.598,-71.1443,-31
8.59801,-71.143,-31.5
8.59712,-71.1426,-31.5
8.60397,-71.144,-31.5
8.59201,-71.1492,-32.5
8.59398,-71.1453,-32.5
8.59943,-71.1423,-32.5
8.59961,-71.1496,-32.5
8.59744,-71.1436,-32.5
8.59908,-71.1494,-33
8.59797,-71.1442,-33.5
8.60948,-71.1421,-33.5
8.59555,-71.1447,-33.5
8.5981,-71.1414,-33.5
8.59163,-71.1497,-33.5
8.59239,-71.1487,-34
8.59424,-71.1437,-34
8.59816,-71.1441,-34
8.59929,-71.144,-34
8.60064,-71.1519,-34
8.59694,-71.1475,-34
8.60174,-71.1467,-34
8.59545,-71.1421,-34
8.60102,-71.1476,-34.5
8.60346,-71.1444,-35
8.59264,-71.1473,-35.5
8.59509,-71.1453,-35.5
8.59773,-71.1446,-35.5
8.59258,-71.1443,-36
8.59511,-71.1425,-36
8.60277,-71.1452,-36.5
8.60848,-71.1421,-37
8.57378,-71.1768,-37
8.59816,-71.1413,-37
8.55855,-71.195,-37.5
8.61277,-71.1444,-37.5
8.59527,-71.1423,-37.5
8.62514,-71.1469,-38
8.59974,-71.1406,-38
8.59299,-71.1479,-38.5
8.59803,-71.1442,-39
8.59834,-71.1438,-39
8.59917,-71.1427,-39
8.61976,-71.1453,-39
8.58834,-71.1564,-39.5
8.59396,-71.1441,-39.5
8.59182,-71.1454,-39.5
8.61269,-71.1445,-39.5
8.59801,-71.1442,-40
8.58737,-71.1544,-40
8.596,-71.1441,-40
8.59881,-71.1431,-40.5
8.59556,-71.1434,-40.5
8.59789,-71.1417,-40.5
8.59846,-71.1423,-41
8.57294,-71.1784,-41
8.59764,-71.142,-41
8.59675,-71.1459,-41
8.55649,-71.1953,-41.5
8.59823,-71.1398,-41.5
8.58766,-71.1553,-41.5
8.58735,-71.1544,-41.5
8.59734,-71.1452,-41.5
8.58191,-71.1648,-42
8.59796,-71.1503,-42
8.60324,-71.1381,-42
8.59642,-71.1408,-42
8.58712,-71.1579,-42
8.58796,-71.1569,-42.5
8.59776,-71.1432,-42.5
8.59287,-71.1439,-42.5
8.62061,-71.1454,-42.5
8.5812,-71.1665,-43
8.59279,-71.1476,-43
8.61013,-71.1422,-43
8.57882,-71.1693,-43
8.59762,-71.1433,-43
8.59704,-71.1442,-43
8.59575,-71.1458,-43
8.57535,-71.1737,-43
8.59932,-71.1398,-43
8.59985,-71.1432,-43.5
8.59883,-71.139,-43.5
8.57882,-71.1693,-43.5
8.58735,-71.155,-43.5
8.60059,-71.1408,-43.5
8.5944,-71.142,-43.5
8.58956,-71.1518,-43.5
8.59825,-71.1412,-43.5
8.58175,-71.166,-44
8.60019,-71.1413,-44
8.60039,-71.1507,-44
8.58715,-71.1547,-44
8.61193,-71.144,-44
